id,friends
76561198887276207,"['76561198206553592', 'DenZZZZ441', 'TENUUNAX318', 'No1BeatzM3', 'buddastd', '76561198333191359']"
DenZZZZ441,[]
No1BeatzM3,"['No1BeatzMe', 'probayraka', 'lmaobitchs', 'mouse8xx', 'shonaande', 'pikaorgil']"
76561198333191359,"['76561198206553592', '76561198286492206', 'skew123', 'CYX6AT', '76561198844617690', 'muranbat']"
TENUUNAX318,[]
buddastd,"['No1BeatzMe', 'HaoyuWang', 'hypeT', '76561198120665885', 'Space0407', '76561198251408450']"
No1BeatzMe,"['probayraka', 'lmaobitchs', 'mouse8xx', 'shonaande', 'wubbalubbadubdub123', 'ysx0126']"
lmaobitchs,"['No1BeatzMe', 'argimandor2', 'erikamamo', 'HaslundVenom', 'm1zu666', 'Godofpyromancy']"
shonaande,[]
76561198206553592,"['MinhTrangTsukimi', 'infinityhoods', 'Stormi2222', 'MongolEvil', 'M0bkun', 'Oggyyyy']"
skew123,"['tuudug', '76561199278525963', '76561198843602229', '76561198414540018', 'donutduckk', '76561199050314759']"
76561198844617690,"['QjEzMzc0MjA', 'GHTK', 'fckfear', 'KadzutoK', 'tushkaaaaa', 'darealgoatlmao']"
HaoyuWang,[]
76561198120665885,"['wegunizm', '76561198105715252', 'yukinodayo', 'harry56789', 'Beepsoju', 'Ic3Blaze']"
76561198251408450,"['d_d_d_d_d_d', '88995114', 'Fire1st', 'xicko', 'diamondz12', 'tseidfc']"
mouse8xx,"['No1BeatzMe', 'probayraka', 'shonaande', 'AkashiSenpai', 'wubbalubbadubdub123', 'Peaxrun']"
wubbalubbadubdub123,"['No1BeatzMe', 'probayraka', 'lmaobitchs', 'mouse8xx', 'shonaande', 'pikaorgil']"
argimandor2,"['moneylead', '76561198258806710', 'wulfbkp', 'RogerKeithBarrett', 'ADMDingDong', 'amaa13']"
HaslundVenom,"['Nuker-Nuking', 'StephenWolfram', '76561198324915734', 'lmaobitchs', '76561198883216649', '76561198826911571']"
Godofpyromancy,[]
infinityhoods,"['SailorrOfficial', 'serialno9984', 'Domoinik14690', '123398138', 'naaar', 'zweaung']"
MongolEvil,"['Chobits_Chii', 'Magic_Mng', 'wegunizm', 'LinaVx', 'enjeymgl', 'priiike']"
Oggyyyy,"['Eskuuu', '76561198082471592', 'xXsingXx', 'URMOMLOLXDXD', '76561198402137093', 'DrahcirDrax']"
76561199278525963,"['76561198116398512', '76561198414540018', '393233103', '76561199050314759', 'scornsan', 'skew123']"
76561198414540018,"['hellomyfriendprosto', '76561199278525963', '76561198802992288', '76561199050314759', 'chinguun0503', '76561199002208237']"
76561199050314759,"['76561198403743390', '76561198334441901', 'showmebadge', '76561198357922475', 'k292777', '76561198072274146']"
GHTK,"['76561198387011623', '1lya_mv', 'amustermann', 'trantung94', 'SkanLore9999', 'DewnyGG']"
KadzutoK,"['sebay90', '76561198157854720', 'BuyingSingleCards', '76561198378921461', '76561198404416368', '76561197992734503']"
darealgoatlmao,"['taosha', 'URMOMLOLXDXD', 'QjEzMzc0MjA', 'rocketorbit', '76561198272827902', '76561198987061207']"
76561198105715252,"['76561198000982089', '76561198027070785', '76561197992326522', 'ahsanaijaz91', 'xthunder0', '76561198152955827']"
harry56789,"['Bard56', 'AsanoSaki', 'neputaiga', '76561198261204764', 'TeamAzrael', 'FassQi']"
Ic3Blaze,[]
88995114,"['bookiee', 'GGWPNOOBIE', '76561198815229280', 'yuuj1n', '76561198148454060', '76561197965136979']"
xicko,"['maibun', 'minecraftsheeplover', 'Magic_Mng', 'wegunizm', 'puchimasu', 'C0REv2']"
tseidfc,[]
probayraka,[]
AkashiSenpai,"['76561198427913739', 'Rabbitrix', 'ReincarnationMN', '120199268', 'Byambaa48', 'm1zu666']"
Peaxrun,"['76561198391635111', 'TroYzBoYY', 'mouse8xx', 'dulguunrgb', 'Jasmine91523423413124153645342', 'pokemongolia']"
pikaorgil,[]
76561198258806710,"['St4ck', 'yida318', 'thebalrog', '-Trixie-', 'chazzerbazzer', 'K-miK_10101']"
